Date,Open,High,Low,Close,Adj Close,Volume
2009-07-01,11.360000,11.490000,11.150000,11.340000,10.429222,17410500
2009-07-02,10.970000,11.110000,10.750000,10.900000,10.024558,13807800
2009-07-06,10.890000,10.900000,10.370000,10.550000,9.702671,18811400
2009-07-07,10.590000,10.650000,10.060000,10.090000,9.279616,26824900
2009-07-08,10.150000,10.180000,9.710000,10.110000,9.298008,30146500
2009-07-09,10.280000,10.500000,10.250000,10.330000,9.500339,17864100
2009-07-10,10.330000,10.440000,10.110000,10.370000,9.537128,13000200
2009-07-13,10.580000,10.580000,9.950000,10.490000,9.647491,13900300
2009-07-14,10.570000,10.750000,10.450000,10.710000,9.849822,11314200
2009-07-15,11.100000,11.370000,11.000000,11.150000,10.254483,25570200
2009-07-16,11.270000,11.770000,11.210000,11.730000,10.787895,23801900
2009-07-17,11.730000,12.110000,11.610000,12.070000,11.100590,21258900
2009-07-20,12.170000,12.350000,12.010000,12.220000,11.238544,19568900
2009-07-21,12.190000,12.240000,11.690000,11.970000,11.008622,23532400
2009-07-22,11.730000,12.380000,11.650000,12.270000,11.284530,15022700
2009-07-23,12.290000,13.040000,12.160000,13.000000,11.955895,26153000
2009-07-24,12.600000,13.000000,12.520000,12.960000,11.919112,16264800
2009-07-27,12.840000,13.210000,12.720000,13.020000,11.974289,16937100
2009-07-28,12.930000,13.180000,12.820000,13.040000,11.992684,14079500
2009-07-29,12.890000,12.970000,12.650000,12.780000,11.753566,9349300
2009-07-30,13.000000,13.170000,12.770000,12.880000,11.845536,11711100
2009-07-31,12.880000,13.110000,12.580000,12.930000,11.891521,13539000
2009-08-03,13.240000,13.430000,12.990000,13.280000,12.213410,11797500
2009-08-04,13.050000,13.600000,13.030000,13.370000,12.296183,17384500
2009-08-05,13.290000,13.500000,13.130000,13.400000,12.323772,15269200
2009-08-06,13.450000,13.690000,13.040000,13.120000,12.066257,23939700
2009-08-07,13.830000,14.230000,13.520000,13.710000,12.608871,35046800
2009-08-10,13.810000,14.010000,13.180000,13.260000,12.195015,17332800
2009-08-11,13.170000,13.370000,12.880000,12.950000,11.909914,12047100
2009-08-12,12.960000,13.570000,12.950000,13.430000,12.351359,15873500
2009-08-13,13.530000,13.880000,13.290000,13.830000,12.719235,14100700
2009-08-14,13.810000,13.830000,13.240000,13.420000,12.342165,10678700
2009-08-17,13.010000,13.050000,12.720000,12.860000,11.827141,11625800
2009-08-18,12.860000,13.480000,12.850000,13.330000,12.259395,15905000
2009-08-19,13.130000,13.260000,13.000000,13.180000,12.121436,13824900
2009-08-20,13.120000,13.760000,13.090000,13.700000,12.599677,20496000
2009-08-21,13.810000,13.950000,13.530000,13.930000,12.811203,15183100
2009-08-24,13.850000,14.000000,13.460000,13.540000,12.452532,11536400
2009-08-25,13.610000,13.800000,13.380000,13.660000,12.562887,11102200
2009-08-26,13.630000,13.850000,13.580000,13.820000,12.710039,10857700
2009-08-27,13.880000,14.070000,13.730000,14.010000,12.884780,13776800
2009-08-28,14.390000,15.030000,14.370000,14.730000,13.546950,22099800
2009-08-31,14.560000,14.630000,14.330000,14.520000,13.353816,10794900
2009-09-01,14.510000,14.920000,13.950000,14.030000,12.903171,18421400
2009-09-02,14.050000,14.370000,13.970000,14.230000,13.087108,10116400
2009-09-03,14.230000,14.590000,14.190000,14.570000,13.399801,13350500
2009-09-04,14.510000,15.210000,14.510000,15.110000,13.896427,12826200
2009-09-08,15.220000,15.530000,15.100000,15.530000,14.282698,13742800
2009-09-09,15.500000,15.990000,15.280000,15.960000,14.678161,14292100
2009-09-10,16.010000,16.490000,15.830000,16.469999,15.147200,15198800
2009-09-11,16.430000,16.490000,16.200001,16.320000,15.009251,17818300
2009-09-14,16.080000,16.209999,15.910000,16.049999,14.760931,12262900
2009-09-15,16.200001,16.580000,16.049999,16.379999,15.064430,13653400
2009-09-16,16.340000,16.370001,15.700000,15.940000,14.659771,17676600
2009-09-17,15.900000,15.900000,14.970000,15.240000,14.015990,23077400
2009-09-18,15.390000,15.500000,15.100000,15.220000,13.997597,15118500
2009-09-21,15.040000,15.410000,14.910000,15.150000,13.933218,14719400
2009-09-22,15.260000,15.350000,15.060000,15.180000,13.960809,9034700
2009-09-23,15.270000,15.400000,14.920000,14.940000,13.740084,11973400
2009-09-24,15.190000,15.190000,14.690000,14.740000,13.556148,13821900
2009-09-25,14.660000,14.730000,14.390000,14.500000,13.335425,9438900
2009-09-28,14.550000,15.200000,14.550000,14.830000,13.638918,11692700
2009-09-29,14.920000,15.100000,14.530000,14.560000,13.390605,11773200
2009-09-30,14.860000,15.210000,14.530000,15.030000,13.822857,21898900
2009-10-01,14.980000,14.980000,13.950000,13.960000,12.838794,24999000
2009-10-02,13.820000,14.150000,13.740000,13.850000,12.737631,15311900
2009-10-05,14.000000,14.050000,13.540000,13.780000,12.673250,18856900
2009-10-06,13.950000,14.250000,13.850000,14.010000,12.884780,19031800
2009-10-07,13.910000,14.060000,13.750000,13.900000,12.783611,11490200
2009-10-08,13.980000,14.020000,13.490000,13.990000,12.866386,31038100
2009-10-09,13.910000,14.190000,13.890000,14.170000,13.031927,15463500
2009-10-12,13.930000,14.280000,13.920000,14.010000,12.884780,12475200
